private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
many days,http://www.wikidata.org/entity/Q45085421,0.158,scientific article published on 23 October 2012,Q45085421,Many days at home during neutropenia after allogeneic hematopoietic stem cell transplantation correlates with low incidence of acute graft-versus-host disease
July 2015,,0.0,,,
March 2016,http://www.wikidata.org/entity/Q19249151,1.0,month of 2016,Q19249151,March 2016
months,,0.0,,,
Badaro,http://www.wikidata.org/entity/Q12473216,1.0,"village in East Bolaang Mongondow Regency, North Sulawesi, Indonesia",Q12473216,Badaro
Medawar,,0.0,,,
Mar Mikhaël,http://www.wikidata.org/entity/Q18352478,1.0,75th sector of Beirut,Q18352478,Mar Mikhaël
Ramlet al-Baida,,0.0,,,
Bourj el-Barajneh,http://www.wikidata.org/entity/Q2928491,1.0,human settlement in Lebanon,Q2928491,Bourj el-Barajneh
Shatila,,0.0,,,
Mar Elias.[100,,0.0,,,
Chiyah,,0.0,,,
Ghobeiry,http://www.wikidata.org/entity/Q25230591,1.0,"place in Mount Lebanon, Lebanon",Q25230591,Ghobeiry
Bir Hassan,,0.0,,,
Jnah,http://www.wikidata.org/entity/Q14206017,1.0,,Q14206017,Jnah
Ouzai,http://www.wikidata.org/entity/Q130638197,1.0,quarter of Beirut,Q130638197,Ouzai
Haret Hreik,http://www.wikidata.org/entity/Q915829,1.0,human settlement in Lebanon,Q915829,Haret Hreik
Burj al Barajneh,,0.0,,,
Laylake-Mreijeh,,0.0,,,
Hay al Sillum,,0.0,,,
Hadath,http://www.wikidata.org/entity/Q3125532,1.0,"place in Mount Lebanon, Lebanon",Q3125532,Hadath
Burj Hammoud,,0.0,,,
Sin el Fil,http://www.wikidata.org/entity/Q984827,1.0,"suburb east of Beirut, Lebanon",Q984827,Sin el Fil
Dekwane,,0.0,,,
Mkalles,http://www.wikidata.org/entity/Q3317407,1.0,human settlement in Lebanon,Q3317407,Mkalles
Hazmiyeh,http://www.wikidata.org/entity/Q15223413,1.0,human settlement in Lebanon,Q15223413,Hazmiyeh
Sabra,http://www.wikidata.org/entity/Q3460703,1.0,female given name,Q3460703,Sabra
Greater Beirut.[107][108,,0.0,,,
the Middle East.[110,,0.0,,,
East,,0.0,,,
Central District,http://www.wikidata.org/entity/Q57525,1.0,district of Botswana,Q57525,Central District
thousands of years old,,0.0,,,
the Beirut Central District,,0.0,,,
Beirut Central District,,0.0,,,
BCD,http://www.wikidata.org/entity/Q856848,0.336,protein found in Drosophila melanogaster,Q856848,Bicoid Dmel_CG1034
the Central District's,,0.0,,,
the year,http://www.wikidata.org/entity/Q111370175,1.0,novel by Tolu Ajayi,Q111370175,The Year
Today,http://www.wikidata.org/entity/Q3530234,1.0,album by Galaxie 500,Q3530234,Today
Zeituna Bay,,0.0,,,
American University of Beirut,,0.0,,,
Nabil Beyhum,http://www.wikidata.org/entity/Q117194817,1.0,Lebanese Sociologist and University Professor,Q117194817,Nabil Beyhum
the Journal The Beirut Review,,0.0,,,
1992,http://www.wikidata.org/entity/Q2060,1.0,year,Q2060,1992
1980s,http://www.wikidata.org/entity/Q34644,1.0,"decade of the Gregorian calendar that began on January 1, 1980",Q34644,1980s
early 1990s,http://www.wikidata.org/entity/Q1394220,0.738,economic downturn,Q1394220,Early 1990s recession
UCLA,,0.0,,,
Saree Makdisi,http://www.wikidata.org/entity/Q6795784,1.0,Palestinian-Lebanese-American academic,Q6795784,Saree Makdisi
Critical Inquiry,,0.0,,,
the Beirut Downtown,,0.0,,,
edit]Beirut,,0.0,,,
"the 1920s,[123",,0.0,,,
West,,0.0,,,
Middle East.[123,,0.0,,,
the 1960s,,0.0,,,
the Economy of Lebanon,,0.0,,,
Banque du Liban,,0.0,,,
the Beirut Stock Exchange,,0.0,,,
Middle East Airlines,,0.0,,,
the United Nations Economic and Social Commission for Western Asia,,0.0,,,
the Union of Arab Banks,,0.0,,,
the Union of Arab Stock Exchanges.[126,,0.0,,,
the end of 2012,,0.0,,,
2012,http://www.wikidata.org/entity/Q1990,1.0,year,Q1990,2012
Marwan Mikhael,,0.0,,,
BLOM Bank.[128,,0.0,,,
the Central Bank,,0.0,,,
